ID,Size,Protein Acr,length,charge,chargedensity,formulaC,formulaH,formulaN,formulaO,formulaS,tot,hydrogen,single,double,MW_modlamp,Gravy,Aromacity,IsoelectricPoint,Instability_index,SecStruct_helix,SecStruct_turn,SecStruct_sheet,Molar_extinction_coefficient_reduced,Molar_extinction_coefficient_oxidized,aliphatic_index,bomanindex,hydrophobic_ratio
WP_004681960.1,140,1,140.0,-19.786,-0.0012375121415164497,699,1051,179,234,8,2515,1350,2271,244,15987.550000000001,-0.40785714285714286,0.10714285714285714,4.262833595275879,36.11642857142856,0.3142857142857143,0.3214285714285714,0.3214285714285714,15470,15595,74.57142857142857,2.096857142857143,0.38571428571428573
WP_010700030.1,99,1,99.0,1.128,9.717252085160344e-05,533,796,130,151,4,1856,1006,1677,179,11607.24,-0.2080808080808081,0.1717171717171717,7.8140356063842775,37.231313131313115,0.37373737373737376,0.21212121212121213,0.41414141414141414,22920,22920,80.9090909090909,1.453838383838384,0.41414141414141414
WP_016657059.1,74,1,74.0,-1.701,-0.00021141018422887484,353,549,99,111,2,1280,701,1164,116,8044.990000000001,-0.32972972972972975,0.06756756756756757,5.79714527130127,27.60675675675675,0.35135135135135137,0.32432432432432434,0.35135135135135137,16500,16500,84.45945945945947,1.3389189189189188,0.35135135135135137
WP_086182729.1,177,1,177.0,-3.766,-0.00019363801927742066,862,1312,224,274,5,3102,1690,2816,286,19447.68,-0.4005649717514125,0.1016949152542373,5.3505044937133786,22.26045197740112,0.327683615819209,0.3107344632768362,0.3446327683615819,44920,44920,76.15819209039549,1.4022033898305084,0.3446327683615819
WP_005299158.1,100,1,100.0,-3.897,-0.0003534235468778199,490,754,124,154,4,1755,964,1595,160,11025.45,-0.12300000000000001,0.1,4.828324699401855,37.96899999999999,0.34,0.31,0.37,19480,19480,86.80000000000001,1.1545,0.4
WP_086197022.1,177,1,177.0,-1.903,-9.742586828309306e-05,868,1322,226,272,6,3137,1704,2849,288,19531.82,-0.43389830508474575,0.10734463276836158,5.908947563171386,26.079096045197733,0.3220338983050848,0.2994350282485876,0.3672316384180791,47900,48025,72.82485875706215,1.4414689265536722,0.327683615819209
WP_004771360.1,178,1,178.0,-3.768,-0.00018960322204711094,881,1316,232,275,7,3144,1696,2843,301,19872.100000000002,-0.4174157303370786,0.11797752808988764,5.359939765930175,28.48314606741572,0.2808988764044944,0.33707865168539325,0.34269662921348315,53400,53400,72.35955056179773,1.4532022471910113,0.33707865168539325
WP_034670926.1,91,1,91.0,-12.793,-0.0012642678552016522,446,666,112,154,1,1580,852,1424,156,10117.92,-0.30439560439560437,0.1098901098901099,4.065488624572754,25.981318681318676,0.38461538461538464,0.2857142857142857,0.3516483516483517,16960,16960,85.93406593406593,1.6624175824175824,0.4065934065934066
WP_005221911.1,176,1,176.0,-7.8,-0.00039217874904029336,871,1283,231,282,8,3141,1678,2833,308,19887.91,-0.6352272727272728,0.11931818181818182,4.909661293029784,37.59318181818182,0.24431818181818182,0.3352272727272727,0.32954545454545453,50420,50545,60.96590909090909,1.8723863636363638,0.3068181818181818
WP_026441047.1,164,1,164.0,-7.895,-0.00043202370959251324,808,1231,215,249,10,2911,1575,2640,271,18273.48,-0.4182926829268293,0.10365853658536586,4.892552757263183,24.29823170731706,0.31097560975609756,0.32926829268292684,0.32926829268292684,37930,38055,69.57317073170732,1.6189634146341463,0.3475609756097561
WP_049175110.1,140,1,140.0,-16.088,-0.001017096167681782,702,1062,168,230,8,2514,1361,2278,236,15816.6,-0.25,0.12142857142857143,4.2211706161499025,47.56857142857142,0.3214285714285714,0.3,0.36428571428571427,21430,21555,77.28571428571428,1.6177857142857144,0.37857142857142856
WP_061524032.1,138,1,138.0,-22.713,-0.001429010941720287,704,1046,172,240,3,2498,1339,2252,246,15893.23,-0.6239130434782609,0.11594202898550725,4.221000099182128,43.307246376811605,0.3550724637681159,0.2681159420289855,0.3550724637681159,19940,20065,76.30434782608695,2.042536231884058,0.3333333333333333
PRX07344.1,90,1,90.0,-3.997,-0.00040623634275492674,442,675,111,135,3,1571,862,1426,145,9838.12,0.024444444444444442,0.1111111111111111,4.504399299621583,-0.155555555555555,0.32222222222222224,0.28888888888888886,0.4111111111111111,20970,20970,89.88888888888889,0.8846666666666667,0.4111111111111111
PRX23482.1,102,1,102.0,-2.997,-0.00027482226417966423,483,750,126,153,3,1745,961,1590,155,10904.25,-0.1392156862745098,0.08823529411764705,4.727492332458495,17.51078431372549,0.3137254901960784,0.3431372549019608,0.37254901960784315,20970,20970,83.13725490196079,1.1135294117647059,0.3627450980392157
WP_041833096.1,90,1,90.0,-3.035,-0.00031124470191782114,434,663,109,130,7,1574,860,1432,142,9750.19,0.06444444444444444,0.1,4.867600440979003,4.903333333333334,0.3222222222222222,0.2777777777777778,0.3666666666666667,19480,19605,77.0,0.7082222222222222,0.43333333333333335
WP_067973273.1,73,1,73.0,-8.031,-0.0009830864090231933,371,547,87,113,3,1317,710,1190,127,8168.1900000000005,0.10821917808219177,0.136986301369863,4.26385669708252,37.13972602739726,0.3150684931506849,0.2328767123287671,0.410958904109589,16960,17085,90.82191780821915,0.7917808219178082,0.4246575342465753
WP_060777289.1,73,1,73.0,-0.867,-0.00010201380186731146,387,601,95,110,4,1376,756,1256,120,8497.87,-0.12602739726027398,0.1095890410958904,6.068437767028808,38.13150684931506,0.3424657534246575,0.2054794520547945,0.4246575342465753,15470,15470,93.42465753424656,1.21972602739726,0.3972602739726027
WP_086934614.1,79,1,79.0,-1.066,-0.00012001679784825419,390,602,100,124,4,1422,781,1292,130,8881.11,-0.30253164556962026,0.10126582278481013,5.298667335510253,23.22151898734177,0.35443037974683544,0.27848101265822783,0.3291139240506329,17990,17990,84.05063291139241,1.4710126582278482,0.4050632911392405
EGY46796.1,75,1,75.0,-0.067,-7.929604052382729e-06,367,575,97,125,2,1346,737,1225,121,8448.37,-0.5853333333333333,0.10666666666666667,6.172737312316894,28.88799999999999,0.3466666666666667,0.24,0.38666666666666666,12950,12950,70.4,2.1861333333333333,0.32
EGY30077.1,110,1,110.0,2.128,0.00017196154138309443,540,844,146,175,4,1974,1082,1797,177,12373.880000000001,-0.4563636363636364,0.09999999999999999,8.664889335632324,42.7990909090909,0.32727272727272727,0.2636363636363636,0.34545454545454546,17420,17420,78.18181818181819,1.940818181818182,0.35454545454545455
WP_032995468.1,77,1,77.0,0.933,0.00010901392059860677,369,586,100,125,3,1366,752,1246,120,8557.560000000001,-0.45324675324675323,0.09090909090909091,7.831635475158691,24.31818181818181,0.36363636363636365,0.25974025974025977,0.35064935064935066,11460,11460,73.63636363636363,2.0155844155844154,0.35064935064935066
WP_071207422.1,171,1,171.0,-6.597,-0.00035449216860866255,814,1233,221,258,9,2930,1591,2653,277,18608.74,-0.30994152046783624,0.09941520467836257,5.007424354553222,27.857368421052616,0.3567251461988304,0.2982456140350877,0.28654970760233917,39420,39420,69.82456140350877,1.4247953216374267,0.38596491228070173
WP_092861643.1,156,1,156.0,-1.568,-9.15986297592732e-05,763,1154,212,224,7,2722,1472,2465,257,17117.18,-0.3814102564102564,0.10897435897435898,6.1871744155883786,29.81217948717947,0.3269230769230769,0.3076923076923077,0.3141025641025641,41940,41940,64.55128205128204,1.578525641025641,0.358974358974359
AYN21572.1,117,1,117.0,1.233,9.526782389128498e-05,568,889,157,181,2,2078,1141,1892,186,12941.48,-0.41709401709401706,0.08547008547008547,7.844271278381349,44.175213675213676,0.39316239316239315,0.23076923076923078,0.3162393162393162,23950,23950,81.96581196581197,1.8397435897435896,0.38461538461538464
WP_026949101.1,150,1,150.0,-25.615,-0.0015206680847299752,732,1117,183,253,7,2661,1446,2413,248,16843.59,-0.1426666666666667,0.08,4.1222139358520495,47.30873333333332,0.35333333333333333,0.22666666666666668,0.35333333333333333,12950,13075,93.66666666666669,1.6449333333333334,0.4266666666666667
ADV02121.1,92,1,92.0,-4.033,-0.00041681006462467973,428,651,111,134,4,1565,855,1420,145,9674.890000000001,0.10326086956521739,0.09782608695652173,4.71595401763916,31.336956521739125,0.3586956521739131,0.2934782608695652,0.31521739130434784,16960,17085,85.97826086956522,0.6420652173913044,0.43478260869565216
WP_013520332.1,133,1,133.0,-3.764,-0.0002597935041961068,633,1003,173,200,5,2336,1293,2135,201,14487.45,-0.048872180451127824,0.06015037593984962,5.287526893615721,45.72180451127818,0.38345864661654133,0.23308270676691728,0.3383458646616541,22460,22460,99.17293233082705,1.2906015037593985,0.43609022556390975
WP_072875463.1,108,1,108.0,-2.564,-0.00020548214172657893,550,836,152,168,5,1976,1067,1790,186,12476.99,-0.7787037037037038,0.10185185185185185,5.932763099670409,60.34074074074071,0.3333333333333333,0.25925925925925924,0.3055555555555555,23950,23950,65.0,2.194722222222222,0.3055555555555556
WP_073068258.1,138,1,138.0,-0.59,-3.6131459723220765e-05,699,1117,201,233,5,2613,1430,2385,228,16328.28,-1.3514492753623188,0.057971014492753624,6.605850410461426,57.257246376811594,0.39855072463768115,0.21014492753623187,0.2608695652173913,7450,7575,62.89855072463768,3.3492028985507245,0.2608695652173913
WP_019152253.1,102,1,102.0,-5.864,-0.0005137199315273706,509,778,128,161,3,1829,997,1664,165,11413.800000000001,-0.16568627450980394,0.09803921568627451,4.665594673156738,29.496078431372545,0.24509803921568626,0.3137254901960784,0.37254901960784315,20970,20970,87.94117647058823,1.4569607843137256,0.37254901960784315
WP_032135197.1,139,1,139.0,-1.997,-0.00012468142864813367,689,1071,183,236,6,2554,1392,2323,231,16015.84,-0.8345323741007195,0.09352517985611511,5.732235145568848,59.323741007194236,0.35251798561151076,0.22302158273381295,0.3237410071942446,11920,12045,65.39568345323741,2.5069784172661866,0.33093525179856115
WP_087312142.1,77,1,77.0,-2.935,-0.00032445243814676304,395,600,106,129,3,1439,774,1303,136,9045.03,-0.8194805194805195,0.11688311688311688,5.226709175109861,58.975324675324664,0.2987012987012987,0.2727272727272727,0.33766233766233766,8940,9065,69.74025974025975,2.621038961038961,0.3116883116883117
WP_071971444.1,143,1,143.0,-13.829,-0.0008436751512075249,717,1083,181,233,10,2623,1416,2375,248,16390.4,-0.2181818181818182,0.1048951048951049,4.584883308410644,45.549720279720276,0.35664335664335667,0.23076923076923078,0.3286713286713287,17420,17670,87.34265734265735,1.5562237762237763,0.42657342657342656
WP_015010935.1,73,1,73.0,-6.961,-0.0008317113707047862,382,581,89,115,3,1344,733,1221,123,8368.51,-0.08082191780821919,0.1232876712328767,4.485926628112793,27.690410958904106,0.3561643835616438,0.2191780821917808,0.4657534246575342,15470,15470,92.05479452054794,1.0491780821917809,0.3835616438356164
WP_073291764.1,152,1,152.0,-5.197,-0.00030293915685335,773,1158,190,235,8,2742,1481,2482,260,17154.28,-0.4348684210526315,0.1381578947368421,4.864019584655761,32.032894736842096,0.3223684210526316,0.3092105263157895,0.35526315789473684,45380,45505,69.93421052631578,1.335657894736842,0.3355263157894737
WP_055259240.1,180,1,180.0,-7.255,-0.000348958799293136,923,1390,234,284,13,3305,1783,2991,314,20789.44,-0.5488888888888889,0.13333333333333333,4.829631996154785,43.52616666666666,0.36666666666666664,0.2777777777777778,0.3388888888888889,50420,50670,62.888888888888886,1.8438888888888887,0.35
WP_066086370.1,97,1,97.0,-2.9,-0.00025664579870827514,501,755,117,168,2,1790,977,1623,167,11298.640000000001,-0.32989690721649484,0.13402061855670103,4.972127342224121,26.907216494845347,0.21649484536082472,0.21649484536082475,0.4845360824742268,15930,15930,85.25773195876288,1.48,0.31958762886597936
WP_066048752.1,105,1,105.0,0.16,1.3259511005808495e-05,533,828,138,163,7,1937,1061,1763,174,12065.83,-0.3276190476190477,0.10476190476190476,6.813767433166503,18.86380952380952,0.3142857142857143,0.3047619047619048,0.3523809523809524,11920,12045,90.95238095238095,1.5151428571428571,0.37142857142857144
WP_066051339.1,98,1,98.0,-4.866,-0.0004184370267753261,525,778,122,166,3,1842,995,1662,180,11628.01,-0.42040816326530617,0.163265306122449,4.922165870666503,7.983673469387758,0.3163265306122449,0.21428571428571427,0.4489795918367347,13410,13410,80.40816326530611,1.6020408163265305,0.3469387755102041
WP_066052973.1,98,1,98.0,-5.765,-0.0004983131688654969,527,788,124,160,3,1842,999,1664,178,11568.050000000001,-0.23163265306122452,0.15306122448979592,4.928133964538573,26.261224489795914,0.32653061224489793,0.22448979591836735,0.4387755102040816,10430,10430,91.42857142857142,1.4029591836734694,0.3877551020408163
WP_087214646.1,90,1,90.0,0.866,8.648359308370933e-05,446,685,117,131,6,1616,882,1469,147,10012.48,-0.2411111111111111,0.1111111111111111,7.739276695251465,21.23222222222222,0.32222222222222224,0.3,0.3333333333333333,26470,26595,74.77777777777777,1.2167777777777777,0.37777777777777777
WP_091444118.1,100,1,100.0,0.398,3.663411630319426e-05,483,739,133,145,3,1732,946,1571,161,10863.210000000001,-0.17600000000000002,0.1,6.9045392990112315,7.193999999999999,0.33,0.3,0.36,20970,20970,79.0,1.1621,0.36
WP_043064954.1,97,1,97.0,-0.203,-1.8731447331876037e-05,482,731,119,146,8,1749,950,1589,160,10836.41,-0.36701030927835054,0.12371134020618557,6.179387474060058,19.08350515463917,0.36082474226804123,0.26804123711340205,0.35051546391752575,30940,31065,65.46391752577318,1.0937113402061855,0.35051546391752575
WP_059284897.1,150,1,150.0,-17.887,-0.0010547954656827333,746,1136,186,247,8,2690,1458,2437,253,16956.81,-0.18800000000000003,0.10666666666666667,4.246861839294434,33.01739999999999,0.3466666666666667,0.2866666666666667,0.37333333333333335,25440,25565,87.8,1.5707333333333333,0.38666666666666666
WP_091401059.1,149,1,149.0,2.234,0.00013394971789014204,737,1157,187,236,5,2683,1482,2451,232,16676.920000000002,-0.6114093959731544,0.087248322147651,8.463361167907717,37.83422818791945,0.38926174496644295,0.26174496644295303,0.3087248322147651,10430,10430,72.68456375838926,1.77751677852349,0.35570469798657717
WP_024349648.1,147,1,147.0,-4.699,-0.00030100010953611135,690,1043,185,218,4,2479,1350,2245,234,15610.310000000001,-0.19659863945578232,0.1020408163265306,5.074039649963377,26.738775510204068,0.3401360544217687,0.2925170068027211,0.32653061224489793,43430,43430,75.23809523809524,1.0785714285714287,0.3673469387755102
WP_067483453.1,73,1,73.0,-8.128,-0.0009829020036544412,379,569,83,115,4,1337,726,1214,123,8268.41,0.08082191780821917,0.136986301369863,4.219976997375488,43.39452054794519,0.3013698630136986,0.273972602739726,0.4383561643835616,13980,14105,85.34246575342465,0.9073972602739725,0.410958904109589
WP_042983711.1,90,1,90.0,-2.001,-0.00019257271761390757,465,716,114,141,6,1648,903,1500,148,10389.9,-0.18222222222222226,0.12222222222222222,4.97758388519287,33.42777777777777,0.32222222222222224,0.2777777777777778,0.4111111111111111,23950,23950,84.44444444444444,1.4326666666666665,0.3888888888888889
WP_000345483.1,90,1,90.0,-2.898,-0.0002924599229996821,442,660,112,139,2,1576,856,1427,149,9908.07,-0.3055555555555556,0.1111111111111111,4.870215034484862,29.761111111111106,0.3,0.34444444444444444,0.35555555555555557,30480,30480,80.11111111111111,1.0951111111111111,0.3333333333333333
WP_048406900.1,85,1,85.0,1.001,0.00010229682430188292,448,687,111,126,4,1564,858,1420,144,9784.27,-0.3129411764705883,0.1411764705882353,7.908417320251465,18.06470588235294,0.3764705882352941,0.2823529411764706,0.38823529411764707,23950,23950,83.76470588235293,1.2430588235294118,0.36470588235294116
WP_000366285.1,91,1,91.0,-3.896,-0.00037177062439525246,477,689,123,139,3,1638,872,1467,171,10478.6,-0.4527472527472528,0.17582417582417584,4.882549095153809,9.131868131868133,0.27472527472527475,0.3186813186813187,0.38461538461538464,33460,33460,61.098901098901095,1.632967032967033,0.32967032967032966
WP_073982187.1,90,1,90.0,0.034,3.334098214688468e-06,455,684,114,136,6,1628,885,1476,152,10196.68,-0.48333333333333334,0.12222222222222223,6.556457328796387,29.34666666666666,0.37777777777777777,0.2777777777777778,0.3,26470,26470,66.22222222222223,1.2604444444444445,0.35555555555555557
WP_033829645.1,73,1,73.0,-7.059,-0.000860294467132949,371,580,90,113,3,1324,729,1208,116,8204.35,0.06575342465753424,0.0958904109589041,4.387367820739747,24.509589041095893,0.3424657534246575,0.2602739726027397,0.4383561643835616,15470,15470,105.34246575342465,0.9808219178082191,0.3972602739726027
WP_074642495.1,86,1,86.0,0.932,9.755188724174133e-05,431,655,107,127,5,1533,836,1393,140,9552.91,-0.25813953488372093,0.12790697674418605,7.799401283264161,38.77790697674418,0.36046511627906974,0.26744186046511625,0.3488372093023256,23950,23950,66.97674418604652,1.0925581395348836,0.38372093023255816
WP_098235012.1,90,1,90.0,-0.034,-3.359544366735768e-06,448,679,119,136,5,1623,879,1471,152,10119.44,-0.5522222222222223,0.1111111111111111,6.553217506408691,23.288888888888884,0.34444444444444444,0.2888888888888889,0.3111111111111111,26470,26595,66.22222222222221,1.5533333333333332,0.34444444444444444
WP_086874405.1,86,1,86.0,-0.0,-0.0,423,635,109,132,3,1502,814,1360,142,9493.59,-0.472093023255814,0.12790697674418605,6.21832218170166,38.82325581395349,0.3023255813953488,0.3372093023255814,0.32558139534883723,23950,23950,61.279069767441854,1.4767441860465116,0.32558139534883723
WP_001009059.1,88,1,88.0,13.125,0.0012748572888326387,468,747,125,120,7,1676,932,1533,143,10294.29,-0.1522727272727273,0.125,10.425649833679199,37.036363636363625,0.3522727272727273,0.23863636363636365,0.3977272727272727,16960,16960,86.36363636363637,1.2238636363636362,0.38636363636363635
WP_074585903.1,90,1,90.0,-0.999,-9.757088539474212e-05,467,707,111,136,5,1630,891,1479,151,10237.73,-0.2577777777777778,0.14444444444444443,5.4090486526489245,25.40122222222222,0.3888888888888889,0.26666666666666666,0.37777777777777777,25440,25440,75.88888888888889,1.0852222222222223,0.37777777777777777
WP_098580830.1,89,1,89.0,-3.199,-0.00031953445258624133,441,659,109,136,8,1610,871,1458,152,10010.460000000001,-0.2471910112359551,0.12359550561797752,4.761254692077636,39.542696629213474,0.38202247191011235,0.2584269662921348,0.3033707865168539,22460,22585,71.34831460674158,1.0474157303370786,0.4044943820224719
WP_016049872.1,87,1,87.0,-1.001,-0.00010532573641208561,427,655,105,129,4,1521,839,1382,139,9502.87,0.14252873563218388,0.11494252873563218,5.0959794998168935,16.549425287356332,0.3218390804597701,0.2988505747126437,0.41379310344827586,22460,22460,96.32183908045977,0.46540229885057466,0.41379310344827586
WP_073530814.1,80,1,80.0,0.1,1.0922444093469909e-05,417,629,105,118,4,1456,793,1318,138,9154.48,-0.28875,0.1375,6.554126930236817,4.536374999999999,0.3625,0.2625,0.375,22460,22460,78.0,1.1184999999999998,0.3875
WP_085782822.1,90,1,90.0,-1.897,-0.0001903976168682051,446,681,113,134,4,1593,874,1448,145,9962.380000000001,-0.19,0.09999999999999999,5.236087608337402,26.107777777777777,0.4,0.28888888888888886,0.3333333333333333,28990,28990,85.66666666666667,0.9314444444444444,0.3888888888888889
WP_098672023.1,81,1,81.0,-5.893,-0.0006237529967769763,429,644,104,128,4,1493,807,1354,139,9446.67,-0.5518518518518519,0.12345679012345678,4.6114839553833,50.32098765432098,0.3950617283950617,0.2716049382716049,0.35802469135802467,30480,30480,71.11111111111111,1.5839506172839504,0.3333333333333333
WP_046944868.1,89,1,89.0,-3.034,-0.0003027853457481313,444,668,114,137,5,1606,869,1455,151,10019.32,-0.33932584269662924,0.11235955056179775,4.9024995803833,20.031460674157298,0.3258426966292135,0.3258426966292135,0.33707865168539325,26470,26595,80.0,1.299438202247191,0.3595505617977528
WP_033699492.1,80,1,80.0,-0.9,-9.756647529183217e-05,417,625,107,120,4,1461,792,1321,140,9223.5,-0.34625000000000006,0.1375,5.6934709548950195,33.85887499999999,0.3375,0.275,0.35,22460,22460,76.875,1.427875,0.3875
WP_098292264.1,86,1,86.0,-1.0,-0.00010432043063473766,433,653,107,130,3,1530,835,1388,142,9584.87,-0.25,0.12790697674418605,5.2417715072631825,32.09651162790697,0.3488372093023256,0.2558139534883721,0.37209302325581395,23950,23950,76.04651162790697,1.1277906976744185,0.38372093023255816
WP_001980900.1,86,1,86.0,-1.0,-0.0001071183346955215,421,633,105,128,3,1486,809,1347,139,9334.49,-0.1988372093023256,0.12790697674418605,5.212101554870604,37.81872093023255,0.32558139534883723,0.313953488372093,0.3488372093023256,22460,22460,66.97674418604652,1.026627906976744,0.37209302325581395
WP_016049871.1,80,1,80.0,-2.896,-0.0003174989502581323,409,614,102,125,3,1446,787,1308,138,9120.310000000001,-0.39,0.125,5.0929670333862305,24.093749999999996,0.4,0.2375,0.3375,20970,20970,78.0,1.3507500000000001,0.3875
WP_017728504.1,90,1,90.0,-2.098,-0.0002063624148927171,448,672,112,139,7,1638,886,1485,153,10165.6,-0.45666666666666667,0.11111111111111112,5.380117607116699,20.757777777777772,0.3666666666666667,0.25555555555555554,0.3111111111111111,24980,25105,65.0,1.1802222222222223,0.35555555555555557
WP_019243357.1,73,1,73.0,-5.862,-0.0006956624933246306,380,580,96,114,3,1347,732,1222,125,8425.52,-0.32602739726027397,0.1095890410958904,4.782341957092284,22.508219178082193,0.3561643835616438,0.2465753424657534,0.410958904109589,15470,15470,89.31506849315068,1.4323287671232876,0.3561643835616438
WP_098600280.1,86,1,86.0,-2.067,-0.00021703430549022246,428,645,101,132,4,1531,838,1389,142,9522.86,-0.04186046511627908,0.12790697674418605,4.957406044006347,29.261627906976734,0.36046511627906974,0.26744186046511625,0.3953488372093023,22460,22460,86.16279069767441,0.675813953488372,0.3953488372093023
WP_098546949.1,81,1,81.0,-0.132,-1.4257153688876505e-05,417,636,102,127,3,1501,818,1365,136,9257.53,-0.5160493827160494,0.12345679012345678,6.257484245300293,35.19382716049382,0.345679012345679,0.25925925925925924,0.38271604938271603,26470,26595,73.33333333333333,1.5387654320987654,0.32098765432098764
WP_098600279.1,90,1,90.0,-1.897,-0.00018928036542984204,445,667,117,139,2,1591,863,1440,151,10021.19,-0.4211111111111111,0.1111111111111111,5.312820243835449,22.24222222222222,0.3111111111111111,0.3111111111111111,0.34444444444444444,30480,30480,74.66666666666666,1.4553333333333331,0.3333333333333333
WP_085313204.1,85,1,85.0,-0.899,-9.506386938499282e-05,424,660,108,127,4,1512,834,1377,135,9455.82,-0.08588235294117648,0.10588235294117647,5.714160346984863,27.308235294117633,0.3529411764705882,0.27058823529411763,0.4,22460,22460,90.58823529411764,1.0002352941176471,0.3764705882352941
WP_012260055.1,85,1,85.0,1.031,0.00010906821259309411,434,655,105,123,4,1524,831,1383,141,9451.82,-0.12352941176470589,0.1411764705882353,7.812101554870606,26.14823529411764,0.3411764705882353,0.24705882352941178,0.38823529411764707,23950,23950,71.05882352941177,0.8236470588235293,0.38823529411764707
WP_016201974.1,90,1,90.0,-1.033,-0.00010145802947488349,454,680,114,138,5,1636,886,1482,154,10180.57,-0.4977777777777778,0.12222222222222223,5.809934043884279,26.178888888888885,0.35555555555555557,0.2777777777777778,0.32222222222222224,27960,28085,70.44444444444444,1.2427777777777778,0.3333333333333333
